subjID,delay_later,amount_later,delay_sooner,amount_sooner,choice,rt,AQ_score,RSQ_score,IRI_score,RSE_score,MSPSS_score,Day
R_40528,5,25,0,11,1,1.971,16,76,54,24,6.5,0
R_40528,11,30,0,11,1,2.624,16,76,54,24,6.5,0
R_40528,38,30,0,12,0,4.723,16,76,54,24,6.5,0
R_40528,76,35,0,12,0,5.355,16,76,54,24,6.5,0
R_40528,113,25,0,16,0,2.522,16,76,54,24,6.5,0
R_40528,70,25,0,16,0,2.06,16,76,54,24,6.5,0
R_40528,67,30,0,18,0,2.038,16,76,54,24,6.5,0
R_40528,20,25,0,19,0,1.806,16,76,54,24,6.5,0
R_40528,171,30,0,21,0,1.709,16,76,54,24,6.5,0
R_40528,4,35,0,25,0,1.294,16,76,54,24,6.5,0
R_40528,3,35,0,30,1,3.463,16,76,54,24,6.5,0
R_40528,59,35,0,32,1,2.488,16,76,54,24,6.5,0
R_40528,42,35,0,30,0,1.789,16,76,54,24,6.5,0
R_40528,158,30,0,15,0,3.007,16,76,54,24,6.5,0
R_40528,129,35,0,31,0,2.54,16,76,54,24,6.5,0
R_40528,27,35,0,13,1,3.957,16,76,54,24,6.5,0
R_40528,9,25,0,17,0,2.924,16,76,54,24,6.5,0
R_33688,5,25,0,11,1,5.525,19,70,54,18,5.083333333,0
R_33688,11,30,0,11,1,3.558,19,70,54,18,5.083333333,0
R_33688,38,30,0,12,0,4.901,19,70,54,18,5.083333333,0
R_33688,76,35,0,12,0,3.08,19,70,54,18,5.083333333,0
R_33688,113,25,0,16,0,3.884,19,70,54,18,5.083333333,0
R_33688,70,25,0,16,1,2.796,19,70,54,18,5.083333333,0
R_33688,67,30,0,18,0,2.818,19,70,54,18,5.083333333,0
R_33688,20,25,0,19,1,3.333,19,70,54,18,5.083333333,0
R_33688,171,30,0,21,0,2.534,19,70,54,18,5.083333333,0
R_33688,4,35,0,25,1,2.351,19,70,54,18,5.083333333,0
R_33688,3,35,0,30,0,2.345,19,70,54,18,5.083333333,0
R_33688,59,35,0,32,0,1.965,19,70,54,18,5.083333333,0
R_33688,42,35,0,30,0,3.266,19,70,54,18,5.083333333,0
R_33688,158,30,0,15,0,2.236,19,70,54,18,5.083333333,0
R_33688,129,35,0,31,0,2.456,19,70,54,18,5.083333333,0
R_33688,27,35,0,13,0,2.348,19,70,54,18,5.083333333,0
R_33688,9,25,0,17,1,2.145,19,70,54,18,5.083333333,0
R_46737,5,25,0,11,1,1.288,15,50,80,18,6.333333333,0
R_46737,11,30,0,11,1,1.71,15,50,80,18,6.333333333,0
R_46737,38,30,0,12,1,2.299,15,50,80,18,6.333333333,0
R_46737,76,35,0,12,1,1.184,15,50,80,18,6.333333333,0
R_46737,113,25,0,16,1,1.857,15,50,80,18,6.333333333,0
R_46737,70,25,0,16,1,1.413,15,50,80,18,6.333333333,0
R_46737,67,30,0,18,1,1.236,15,50,80,18,6.333333333,0
R_46737,20,25,0,19,1,1.14,15,50,80,18,6.333333333,0
R_46737,171,30,0,21,1,1.12,15,50,80,18,6.333333333,0
R_46737,4,35,0,25,1,1.347,15,50,80,18,6.333333333,0
R_46737,3,35,0,30,1,1.807,15,50,80,18,6.333333333,0
R_46737,59,35,0,32,0,2.427,15,50,80,18,6.333333333,0
R_46737,42,35,0,30,1,2.373,15,50,80,18,6.333333333,0
R_46737,158,30,0,15,1,1.024,15,50,80,18,6.333333333,0
R_46737,129,35,0,31,0,3.384,15,50,80,18,6.333333333,0
R_46737,27,35,0,13,1,1.346,15,50,80,18,6.333333333,0
R_46737,9,25,0,17,1,1.051,15,50,80,18,6.333333333,0
R_11212,5,25,0,11,0,6.754,12,79,74,27,4.5,0
R_11212,11,30,0,11,1,17.599,12,79,74,27,4.5,0
R_11212,38,30,0,12,1,21.956,12,79,74,27,4.5,0
R_11212,76,35,0,12,1,22.681,12,79,74,27,4.5,0
R_11212,113,25,0,16,1,2.604,12,79,74,27,4.5,0
R_11212,70,25,0,16,0,8.426,12,79,74,27,4.5,0
R_11212,67,30,0,18,0,25.458,12,79,74,27,4.5,0
R_11212,20,25,0,19,1,8.716,12,79,74,27,4.5,0
R_11212,171,30,0,21,0,5.603,12,79,74,27,4.5,0
R_11212,4,35,0,25,1,3.205,12,79,74,27,4.5,0
R_11212,3,35,0,30,1,3.713,12,79,74,27,4.5,0
R_11212,59,35,0,32,0,5.52,12,79,74,27,4.5,0
R_11212,42,35,0,30,1,12.577,12,79,74,27,4.5,0
R_11212,158,30,0,15,1,22.404,12,79,74,27,4.5,0
R_11212,129,35,0,31,0,2.884,12,79,74,27,4.5,0
R_11212,27,35,0,13,1,4.046,12,79,74,27,4.5,0
R_11212,9,25,0,17,1,2.151,12,79,74,27,4.5,0
R_40914,5,25,0,11,1,1.872,11,92,61,24,5.833333333,0
R_40914,11,30,0,11,1,1.441,11,92,61,24,5.833333333,0
R_40914,38,30,0,12,1,1.653,11,92,61,24,5.833333333,0
R_40914,76,35,0,12,1,0.588,11,92,61,24,5.833333333,0
R_40914,113,25,0,16,1,0.802,11,92,61,24,5.833333333,0
R_40914,70,25,0,16,1,0.707,11,92,61,24,5.833333333,0
R_40914,67,30,0,18,1,0.819,11,92,61,24,5.833333333,0
R_40914,20,25,0,19,1,0.873,11,92,61,24,5.833333333,0
R_40914,171,30,0,21,1,0.908,11,92,61,24,5.833333333,0
R_40914,4,35,0,25,0,1.24,11,92,61,24,5.833333333,0
R_40914,3,35,0,30,1,1.041,11,92,61,24,5.833333333,0
R_40914,59,35,0,32,1,1.323,11,92,61,24,5.833333333,0
R_40914,42,35,0,30,0,1.343,11,92,61,24,5.833333333,0
R_40914,158,30,0,15,1,1.205,11,92,61,24,5.833333333,0
R_40914,129,35,0,31,0,1.555,11,92,61,24,5.833333333,0
R_40914,27,35,0,13,1,0.975,11,92,61,24,5.833333333,0
R_40914,9,25,0,17,1,1.516,11,92,61,24,5.833333333,0
R_37050,5,25,0,11,1,3.196,16,81,80,16,5.916666667,0
R_37050,11,30,0,11,1,5.453,16,81,80,16,5.916666667,0
R_37050,38,30,0,12,0,4.649,16,81,80,16,5.916666667,0
R_37050,76,35,0,12,1,3.541,16,81,80,16,5.916666667,0
R_37050,113,25,0,16,0,2.896,16,81,80,16,5.916666667,0
R_37050,70,25,0,16,0,3.546,16,81,80,16,5.916666667,0
R_37050,67,30,0,18,1,4.178,16,81,80,16,5.916666667,0
R_37050,20,25,0,19,1,2.58,16,81,80,16,5.916666667,0
R_37050,171,30,0,21,0,1.579,16,81,80,16,5.916666667,0
R_37050,4,35,0,25,0,1.567,16,81,80,16,5.916666667,0
R_37050,3,35,0,30,1,2.564,16,81,80,16,5.916666667,0
R_37050,59,35,0,32,0,2.279,16,81,80,16,5.916666667,0
R_37050,42,35,0,30,0,1.548,16,81,80,16,5.916666667,0
R_37050,158,30,0,15,0,1.146,16,81,80,16,5.916666667,0
R_37050,129,35,0,31,0,1.645,16,81,80,16,5.916666667,0
R_37050,27,35,0,13,1,1.676,16,81,80,16,5.916666667,0
R_37050,9,25,0,17,1,2.912,16,81,80,16,5.916666667,0
R_40528,5,25,0,11,1,2.215,16,76,54,24,6.5,1
R_40528,11,30,0,11,1,1.974,16,76,54,24,6.5,1
R_40528,38,30,0,12,0,2.444,16,76,54,24,6.5,1
R_40528,76,35,0,12,0,3.108,16,76,54,24,6.5,1
R_40528,113,25,0,16,0,2.975,16,76,54,24,6.5,1
R_40528,70,25,0,16,0,2.443,16,76,54,24,6.5,1
R_40528,67,30,0,18,0,1.619,16,76,54,24,6.5,1
R_40528,20,25,0,19,0,3.325,16,76,54,24,6.5,1
R_40528,171,30,0,21,0,1.591,16,76,54,24,6.5,1
R_40528,4,35,0,25,1,3.278,16,76,54,24,6.5,1
R_40528,3,35,0,30,1,1.677,16,76,54,24,6.5,1
R_40528,59,35,0,32,0,2.661,16,76,54,24,6.5,1
R_40528,42,35,0,30,0,3.111,16,76,54,24,6.5,1
R_40528,158,30,0,15,0,2.526,16,76,54,24,6.5,1
R_40528,129,35,0,31,0,1.542,16,76,54,24,6.5,1
R_40528,27,35,0,13,1,2.343,16,76,54,24,6.5,1
R_40528,9,25,0,17,1,3.243,16,76,54,24,6.5,1
R_33688,5,25,0,11,1,3.487,19,70,54,18,5.083333333,1
R_33688,11,30,0,11,0,3.599,19,70,54,18,5.083333333,1
R_33688,38,30,0,12,1,2.134,19,70,54,18,5.083333333,1
R_33688,76,35,0,12,0,2.635,19,70,54,18,5.083333333,1
R_33688,113,25,0,16,1,2.568,19,70,54,18,5.083333333,1
R_33688,70,25,0,16,0,1.87,19,70,54,18,5.083333333,1
R_33688,67,30,0,18,0,2.441,19,70,54,18,5.083333333,1
R_33688,20,25,0,19,0,2.669,19,70,54,18,5.083333333,1
R_33688,171,30,0,21,0,1.624,19,70,54,18,5.083333333,1
R_33688,4,35,0,25,1,2.621,19,70,54,18,5.083333333,1
R_33688,3,35,0,30,1,4.471,19,70,54,18,5.083333333,1
R_33688,59,35,0,32,0,2.604,19,70,54,18,5.083333333,1
R_33688,42,35,0,30,0,2.514,19,70,54,18,5.083333333,1
R_33688,158,30,0,15,0,1.435,19,70,54,18,5.083333333,1
R_33688,129,35,0,31,0,1.621,19,70,54,18,5.083333333,1
R_33688,27,35,0,13,0,4.502,19,70,54,18,5.083333333,1
R_33688,9,25,0,17,1,1.272,19,70,54,18,5.083333333,1
R_46737,5,25,0,11,1,1.042,15,50,80,18,6.333333333,1
R_46737,11,30,0,11,1,0.855,15,50,80,18,6.333333333,1
R_46737,38,30,0,12,1,1.339,15,50,80,18,6.333333333,1
R_46737,76,35,0,12,1,1.006,15,50,80,18,6.333333333,1
R_46737,113,25,0,16,1,1.674,15,50,80,18,6.333333333,1
R_46737,70,25,0,16,1,1.66,15,50,80,18,6.333333333,1
R_46737,67,30,0,18,1,1.44,15,50,80,18,6.333333333,1
R_46737,20,25,0,19,1,1.303,15,50,80,18,6.333333333,1
R_46737,171,30,0,21,1,1.843,15,50,80,18,6.333333333,1
R_46737,4,35,0,25,1,1.203,15,50,80,18,6.333333333,1
R_46737,3,35,0,30,1,1.274,15,50,80,18,6.333333333,1
R_46737,59,35,0,32,1,1.989,15,50,80,18,6.333333333,1
R_46737,42,35,0,30,1,1.502,15,50,80,18,6.333333333,1
R_46737,158,30,0,15,1,1.541,15,50,80,18,6.333333333,1
R_46737,129,35,0,31,1,1.856,15,50,80,18,6.333333333,1
R_46737,27,35,0,13,1,1.457,15,50,80,18,6.333333333,1
R_46737,9,25,0,17,1,0.973,15,50,80,18,6.333333333,1
R_11212,5,25,0,11,1,1.791,12,79,74,27,4.5,1
R_11212,11,30,0,11,1,2.605,12,79,74,27,4.5,1
R_11212,38,30,0,12,1,5.208,12,79,74,27,4.5,1
R_11212,76,35,0,12,1,4.143,12,79,74,27,4.5,1
R_11212,113,25,0,16,0,2.031,12,79,74,27,4.5,1
R_11212,70,25,0,16,1,1.843,12,79,74,27,4.5,1
R_11212,67,30,0,18,1,4.865,12,79,74,27,4.5,1
R_11212,20,25,0,19,1,2.165,12,79,74,27,4.5,1
R_11212,171,30,0,21,0,3.955,12,79,74,27,4.5,1
R_11212,4,35,0,25,1,2.184,12,79,74,27,4.5,1
R_11212,3,35,0,30,1,1.467,12,79,74,27,4.5,1
R_11212,59,35,0,32,0,14.645,12,79,74,27,4.5,1
R_11212,42,35,0,30,1,5.483,12,79,74,27,4.5,1
R_11212,158,30,0,15,1,2.988,12,79,74,27,4.5,1
R_11212,129,35,0,31,0,2.016,12,79,74,27,4.5,1
R_11212,27,35,0,13,1,2.076,12,79,74,27,4.5,1
R_11212,9,25,0,17,1,1.927,12,79,74,27,4.5,1
R_40914,5,25,0,11,1,0.897,11,92,61,24,5.833333333,1
R_40914,11,30,0,11,1,0.977,11,92,61,24,5.833333333,1
R_40914,38,30,0,12,1,0.575,11,92,61,24,5.833333333,1
R_40914,76,35,0,12,1,1.359,11,92,61,24,5.833333333,1
R_40914,113,25,0,16,1,0.757,11,92,61,24,5.833333333,1
R_40914,70,25,0,16,1,1.628,11,92,61,24,5.833333333,1
R_40914,67,30,0,18,1,1.192,11,92,61,24,5.833333333,1
R_40914,20,25,0,19,1,1.377,11,92,61,24,5.833333333,1
R_40914,171,30,0,21,0,1.759,11,92,61,24,5.833333333,1
R_40914,4,35,0,25,1,1.244,11,92,61,24,5.833333333,1
R_40914,3,35,0,30,1,1.375,11,92,61,24,5.833333333,1
R_40914,59,35,0,32,0,1.36,11,92,61,24,5.833333333,1
R_40914,42,35,0,30,0,1.393,11,92,61,24,5.833333333,1
R_40914,158,30,0,15,1,0.926,11,92,61,24,5.833333333,1
R_40914,129,35,0,31,0,1.276,11,92,61,24,5.833333333,1
R_40914,27,35,0,13,1,1.626,11,92,61,24,5.833333333,1
R_40914,9,25,0,17,1,0.826,11,92,61,24,5.833333333,1
R_37050,5,25,0,11,1,3.196,16,81,80,16,5.916666667,1
R_37050,11,30,0,11,1,5.453,16,81,80,16,5.916666667,1
R_37050,38,30,0,12,0,4.649,16,81,80,16,5.916666667,1
R_37050,76,35,0,12,1,3.541,16,81,80,16,5.916666667,1
R_37050,113,25,0,16,0,2.896,16,81,80,16,5.916666667,1
R_37050,70,25,0,16,0,3.546,16,81,80,16,5.916666667,1
R_37050,67,30,0,18,1,4.178,16,81,80,16,5.916666667,1
R_37050,20,25,0,19,1,2.58,16,81,80,16,5.916666667,1
R_37050,171,30,0,21,0,1.579,16,81,80,16,5.916666667,1
R_37050,4,35,0,25,0,1.567,16,81,80,16,5.916666667,1
R_37050,3,35,0,30,1,2.564,16,81,80,16,5.916666667,1
R_37050,59,35,0,32,0,2.279,16,81,80,16,5.916666667,1
R_37050,42,35,0,30,0,1.548,16,81,80,16,5.916666667,1
R_37050,158,30,0,15,0,1.146,16,81,80,16,5.916666667,1
R_37050,129,35,0,31,0,1.645,16,81,80,16,5.916666667,1
R_37050,27,35,0,13,1,1.676,16,81,80,16,5.916666667,1
R_37050,9,25,0,17,1,2.912,16,81,80,16,5.916666667,1